,NameEng,NameVn,Nutritions,Water,Energy,Prottein,Fat,Carb,Fiber,Sugars,Calcium,Iron_Fe,Magne_Mg,Potassium_K,Sodium_Na,Zinc_Z,Vitamin_C,Vitamin_B6,Vitamin_B12,Vitamin_A,Vitamin_E,Vitamin_D23,Vitamin_D,Cholesterol,Caffein
44,malabar spinach,Rau mồng tơi,"{""Water"": ""92.5 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.98 g"", ""Total lipid (fat)"": ""0.78 g"", ""Carbohydrate, by difference"": ""2.71 g"", ""Fiber, total dietary"": ""2.1 g"", ""Calcium, Ca"": ""124.0 mg"", ""Iron, Fe"": ""1.48 mg"", ""Magnesium, Mg"": ""48.0 mg"", ""Phosphorus, P"": ""36.0 mg"", ""Potassium, K"": ""256.0 mg"", ""Sodium, Na"": ""55.0 mg"", ""Zinc, Zn"": ""0.3 mg"", ""Vitamin C, total ascorbic acid"": ""5.9 mg"", ""Thiamin"": ""0.106 mg"", ""Riboflavin"": ""0.129 mg"", ""Niacin"": ""0.787 mg"", ""Vitamin B-6"": ""0.086 mg"", ""Folate, DFE"": ""114.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""58.0 µg"", ""Vitamin A, IU"": ""1158.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",92.5 g,23.0 kcal,2.98 g,0.78 g,2.71 g,2.1 g,0,124.0 mg,1.48 mg,48.0 mg,256.0 mg,55.0 mg,0.3 mg,5.9 mg,0.086 mg,0.0 µg,58.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
45,centella,Rau má,"{""Water"": ""92.5 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.98 g"", ""Total lipid (fat)"": ""0.78 g"", ""Carbohydrate, by difference"": ""2.71 g"", ""Fiber, total dietary"": ""2.1 g"", ""Calcium, Ca"": ""124.0 mg"", ""Iron, Fe"": ""1.48 mg"", ""Magnesium, Mg"": ""48.0 mg"", ""Phosphorus, P"": ""36.0 mg"", ""Potassium, K"": ""256.0 mg"", ""Sodium, Na"": ""55.0 mg"", ""Zinc, Zn"": ""0.3 mg"", ""Vitamin C, total ascorbic acid"": ""5.9 mg"", ""Thiamin"": ""0.106 mg"", ""Riboflavin"": ""0.129 mg"", ""Niacin"": ""0.787 mg"", ""Vitamin B-6"": ""0.086 mg"", ""Folate, DFE"": ""114.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""58.0 µg"", ""Vitamin A, IU"": ""1158.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",92.5 g,23.0 kcal,2.98 g,0.78 g,2.71 g,2.1 g,0,124.0 mg,1.48 mg,48.0 mg,256.0 mg,55.0 mg,0.3 mg,5.9 mg,0.086 mg,0.0 µg,58.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
46,choi,Cải đắng,"{""Water"": ""95.32 g"", ""Energy"": ""13.0 kcal"", ""Protein"": ""1.5 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""2.18 g"", ""Fiber, total dietary"": ""1.0 g"", ""Sugars, total"": ""1.18 g"", ""Calcium, Ca"": ""105.0 mg"", ""Iron, Fe"": ""0.8 mg"", ""Magnesium, Mg"": ""19.0 mg"", ""Phosphorus, P"": ""37.0 mg"", ""Potassium, K"": ""252.0 mg"", ""Sodium, Na"": ""65.0 mg"", ""Zinc, Zn"": ""0.19 mg"", ""Vitamin C, total ascorbic acid"": ""45.0 mg"", ""Thiamin"": ""0.04 mg"", ""Riboflavin"": ""0.07 mg"", ""Niacin"": ""0.5 mg"", ""Vitamin B-6"": ""0.194 mg"", ""Folate, DFE"": ""66.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""223.0 µg"", ""Vitamin A, IU"": ""4468.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.09 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""45.5 µg"", ""Fatty acids, total saturated"": ""0.027 g"", ""Fatty acids, total monounsaturated"": ""0.015 g"", ""Fatty acids, total polyunsaturated"": ""0.096 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",95.32 g,13.0 kcal,1.5 g,0.2 g,2.18 g,1.0 g,1.18 g,105.0 mg,0.8 mg,19.0 mg,252.0 mg,65.0 mg,0.19 mg,45.0 mg,0.194 mg,0.0 µg,223.0 µg,0.09 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
47,Seaweed,rong biển,"{""Water"": ""91.32 g"", ""Energy"": ""26.0 kcal"", ""Protein"": ""0.54 g"", ""Total lipid (fat)"": ""0.03 g"", ""Carbohydrate, by difference"": ""6.75 g"", ""Fiber, total dietary"": ""0.5 g"", ""Sugars, total"": ""0.28 g"", ""Calcium, Ca"": ""54.0 mg"", ""Iron, Fe"": ""1.86 mg"", ""Magnesium, Mg"": ""67.0 mg"", ""Phosphorus, P"": ""5.0 mg"", ""Potassium, K"": ""226.0 mg"", ""Sodium, Na"": ""9.0 mg"", ""Zinc, Zn"": ""0.58 mg"", ""Vitamin C, total ascorbic acid"": ""0.0 mg"", ""Thiamin"": ""0.005 mg"", ""Riboflavin"": ""0.022 mg"", ""Niacin"": ""0.055 mg"", ""Vitamin B-6"": ""0.032 mg"", ""Folate, DFE"": ""85.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.87 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""2.3 µg"", ""Fatty acids, total saturated"": ""0.006 g"", ""Fatty acids, total monounsaturated"": ""0.003 g"", ""Fatty acids, total polyunsaturated"": ""0.01 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",91.32 g,26.0 kcal,0.54 g,0.03 g,6.75 g,0.5 g,0.28 g,54.0 mg,1.86 mg,67.0 mg,226.0 mg,9.0 mg,0.58 mg,0.0 mg,0.032 mg,0.0 µg,0.0 µg,0.87 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
48,string bean,Đậu đũa,"{""Energy"": ""141.0 kcal"", ""Protein"": ""5.05 g"", ""Total lipid (fat)"": ""6.06 g"", ""Carbohydrate, by difference"": ""17.17 g"", ""Fiber, total dietary"": ""4.0 g"", ""Sugars, total"": ""2.02 g"", ""Calcium, Ca"": ""61.0 mg"", ""Iron, Fe"": ""1.82 mg"", ""Sodium, Na"": ""424.0 mg"", ""Vitamin C, total ascorbic acid"": ""6.1 mg"", ""Vitamin A, IU"": ""303.0 IU"", ""Fatty acids, total saturated"": ""1.52 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",0,141.0 kcal,5.05 g,6.06 g,17.17 g,4.0 g,2.02 g,61.0 mg,1.82 mg,0,0,424.0 mg,0,6.1 mg,0,0,0,0,0,0,0.0 mg,0
49,leek,Củ kiệu,"{""Water"": ""83.0 g"", ""Energy"": ""61.0 kcal"", ""Protein"": ""1.5 g"", ""Total lipid (fat)"": ""0.3 g"", ""Carbohydrate, by difference"": ""14.15 g"", ""Fiber, total dietary"": ""1.8 g"", ""Sugars, total"": ""3.9 g"", ""Calcium, Ca"": ""59.0 mg"", ""Iron, Fe"": ""2.1 mg"", ""Magnesium, Mg"": ""28.0 mg"", ""Phosphorus, P"": ""35.0 mg"", ""Potassium, K"": ""180.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.12 mg"", ""Vitamin C, total ascorbic acid"": ""12.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.03 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.233 mg"", ""Folate, DFE"": ""64.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""83.0 µg"", ""Vitamin A, IU"": ""1667.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.92 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""47.0 µg"", ""Fatty acids, total saturated"": ""0.04 g"", ""Fatty acids, total monounsaturated"": ""0.004 g"", ""Fatty acids, total polyunsaturated"": ""0.166 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",83.0 g,61.0 kcal,1.5 g,0.3 g,14.15 g,1.8 g,3.9 g,59.0 mg,2.1 mg,28.0 mg,180.0 mg,20.0 mg,0.12 mg,12.0 mg,0.233 mg,0.0 µg,83.0 µg,0.92 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
50,neptunia,Rau nhút,"{""Water"": ""83.0 g"", ""Energy"": ""61.0 kcal"", ""Protein"": ""1.5 g"", ""Total lipid (fat)"": ""0.3 g"", ""Carbohydrate, by difference"": ""14.15 g"", ""Fiber, total dietary"": ""1.8 g"", ""Sugars, total"": ""3.9 g"", ""Calcium, Ca"": ""59.0 mg"", ""Iron, Fe"": ""2.1 mg"", ""Magnesium, Mg"": ""28.0 mg"", ""Phosphorus, P"": ""35.0 mg"", ""Potassium, K"": ""180.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.12 mg"", ""Vitamin C, total ascorbic acid"": ""12.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.03 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.233 mg"", ""Folate, DFE"": ""64.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""83.0 µg"", ""Vitamin A, IU"": ""1667.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.92 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""47.0 µg"", ""Fatty acids, total saturated"": ""0.04 g"", ""Fatty acids, total monounsaturated"": ""0.004 g"", ""Fatty acids, total polyunsaturated"": ""0.166 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",83.0 g,61.0 kcal,1.5 g,0.3 g,14.15 g,1.8 g,3.9 g,59.0 mg,2.1 mg,28.0 mg,180.0 mg,20.0 mg,0.12 mg,12.0 mg,0.233 mg,0.0 µg,83.0 µg,0.92 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
51,shallot,Củ hẹ,"{""Water"": ""79.8 g"", ""Energy"": ""72.0 kcal"", ""Protein"": ""2.5 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""16.8 g"", ""Fiber, total dietary"": ""3.2 g"", ""Sugars, total"": ""7.87 g"", ""Calcium, Ca"": ""37.0 mg"", ""Iron, Fe"": ""1.2 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""60.0 mg"", ""Potassium, K"": ""334.0 mg"", ""Sodium, Na"": ""12.0 mg"", ""Zinc, Zn"": ""0.4 mg"", ""Vitamin C, total ascorbic acid"": ""8.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin B-6"": ""0.345 mg"", ""Folate, DFE"": ""34.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""4.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.04 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.8 µg"", ""Fatty acids, total saturated"": ""0.017 g"", ""Fatty acids, total monounsaturated"": ""0.014 g"", ""Fatty acids, total polyunsaturated"": ""0.039 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.8 g,72.0 kcal,2.5 g,0.1 g,16.8 g,3.2 g,7.87 g,37.0 mg,1.2 mg,21.0 mg,334.0 mg,12.0 mg,0.4 mg,8.0 mg,0.345 mg,0.0 µg,0.0 µg,0.04 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
52,loofah,Mướp,"{""Water"": ""79.8 g"", ""Energy"": ""72.0 kcal"", ""Protein"": ""2.5 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""16.8 g"", ""Fiber, total dietary"": ""3.2 g"", ""Sugars, total"": ""7.87 g"", ""Calcium, Ca"": ""37.0 mg"", ""Iron, Fe"": ""1.2 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""60.0 mg"", ""Potassium, K"": ""334.0 mg"", ""Sodium, Na"": ""12.0 mg"", ""Zinc, Zn"": ""0.4 mg"", ""Vitamin C, total ascorbic acid"": ""8.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin B-6"": ""0.345 mg"", ""Folate, DFE"": ""34.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""4.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.04 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.8 µg"", ""Fatty acids, total saturated"": ""0.017 g"", ""Fatty acids, total monounsaturated"": ""0.014 g"", ""Fatty acids, total polyunsaturated"": ""0.039 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.8 g,72.0 kcal,2.5 g,0.1 g,16.8 g,3.2 g,7.87 g,37.0 mg,1.2 mg,21.0 mg,334.0 mg,12.0 mg,0.4 mg,8.0 mg,0.345 mg,0.0 µg,0.0 µg,0.04 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
53,gatangal,Củ riềng,"{""Water"": ""79.8 g"", ""Energy"": ""72.0 kcal"", ""Protein"": ""2.5 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""16.8 g"", ""Fiber, total dietary"": ""3.2 g"", ""Sugars, total"": ""7.87 g"", ""Calcium, Ca"": ""37.0 mg"", ""Iron, Fe"": ""1.2 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""60.0 mg"", ""Potassium, K"": ""334.0 mg"", ""Sodium, Na"": ""12.0 mg"", ""Zinc, Zn"": ""0.4 mg"", ""Vitamin C, total ascorbic acid"": ""8.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin B-6"": ""0.345 mg"", ""Folate, DFE"": ""34.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""4.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.04 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.8 µg"", ""Fatty acids, total saturated"": ""0.017 g"", ""Fatty acids, total monounsaturated"": ""0.014 g"", ""Fatty acids, total polyunsaturated"": ""0.039 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.8 g,72.0 kcal,2.5 g,0.1 g,16.8 g,3.2 g,7.87 g,37.0 mg,1.2 mg,21.0 mg,334.0 mg,12.0 mg,0.4 mg,8.0 mg,0.345 mg,0.0 µg,0.0 µg,0.04 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
54,colza,Cải dầu,"{""Water"": ""79.8 g"", ""Energy"": ""72.0 kcal"", ""Protein"": ""2.5 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""16.8 g"", ""Fiber, total dietary"": ""3.2 g"", ""Sugars, total"": ""7.87 g"", ""Calcium, Ca"": ""37.0 mg"", ""Iron, Fe"": ""1.2 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""60.0 mg"", ""Potassium, K"": ""334.0 mg"", ""Sodium, Na"": ""12.0 mg"", ""Zinc, Zn"": ""0.4 mg"", ""Vitamin C, total ascorbic acid"": ""8.0 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin B-6"": ""0.345 mg"", ""Folate, DFE"": ""34.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""4.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.04 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.8 µg"", ""Fatty acids, total saturated"": ""0.017 g"", ""Fatty acids, total monounsaturated"": ""0.014 g"", ""Fatty acids, total polyunsaturated"": ""0.039 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.8 g,72.0 kcal,2.5 g,0.1 g,16.8 g,3.2 g,7.87 g,37.0 mg,1.2 mg,21.0 mg,334.0 mg,12.0 mg,0.4 mg,8.0 mg,0.345 mg,0.0 µg,0.0 µg,0.04 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
55,sugar cane,Mía,"{""Energy"": ""375.0 kcal"", ""Protein"": ""0.0 g"", ""Total lipid (fat)"": ""0.0 g"", ""Carbohydrate, by difference"": ""100.0 g"", ""Sugars, total"": ""100.0 g"", ""Sodium, Na"": ""0.0 mg"", ""Fatty acids, total saturated"": ""0.0 g"", ""Fatty acids, total trans"": ""0.0 g""}",0,375.0 kcal,0.0 g,0.0 g,100.0 g,0,100.0 g,0,0,0,0,0.0 mg,0,0,0,0,0,0,0,0,0,0
56,wild betel leaves,Lá lốt,"{""Energy"": ""375.0 kcal"", ""Protein"": ""0.0 g"", ""Total lipid (fat)"": ""0.0 g"", ""Carbohydrate, by difference"": ""100.0 g"", ""Sugars, total"": ""100.0 g"", ""Sodium, Na"": ""0.0 mg"", ""Fatty acids, total saturated"": ""0.0 g"", ""Fatty acids, total trans"": ""0.0 g""}",0,375.0 kcal,0.0 g,0.0 g,100.0 g,0,100.0 g,0,0,0,0,0.0 mg,0,0,0,0,0,0,0,0,0,0
57,okra,Đậu bắp,"{""Water"": ""89.58 g"", ""Energy"": ""33.0 kcal"", ""Protein"": ""1.93 g"", ""Total lipid (fat)"": ""0.19 g"", ""Carbohydrate, by difference"": ""7.45 g"", ""Fiber, total dietary"": ""3.2 g"", ""Sugars, total"": ""1.48 g"", ""Calcium, Ca"": ""82.0 mg"", ""Iron, Fe"": ""0.62 mg"", ""Magnesium, Mg"": ""57.0 mg"", ""Phosphorus, P"": ""61.0 mg"", ""Potassium, K"": ""299.0 mg"", ""Sodium, Na"": ""7.0 mg"", ""Zinc, Zn"": ""0.58 mg"", ""Vitamin C, total ascorbic acid"": ""23.0 mg"", ""Thiamin"": ""0.2 mg"", ""Riboflavin"": ""0.06 mg"", ""Niacin"": ""1.0 mg"", ""Vitamin B-6"": ""0.215 mg"", ""Folate, DFE"": ""60.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""36.0 µg"", ""Vitamin A, IU"": ""716.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.27 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""31.3 µg"", ""Fatty acids, total saturated"": ""0.026 g"", ""Fatty acids, total monounsaturated"": ""0.017 g"", ""Fatty acids, total polyunsaturated"": ""0.027 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",89.58 g,33.0 kcal,1.93 g,0.19 g,7.45 g,3.2 g,1.48 g,82.0 mg,0.62 mg,57.0 mg,299.0 mg,7.0 mg,0.58 mg,23.0 mg,0.215 mg,0.0 µg,36.0 µg,0.27 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
58,perilla leaf,Lá tía tô,"{""Water"": ""94.98 g"", ""Energy"": ""15.0 kcal"", ""Protein"": ""1.36 g"", ""Total lipid (fat)"": ""0.15 g"", ""Carbohydrate, by difference"": ""2.87 g"", ""Fiber, total dietary"": ""1.3 g"", ""Sugars, total"": ""0.78 g"", ""Calcium, Ca"": ""36.0 mg"", ""Iron, Fe"": ""0.86 mg"", ""Magnesium, Mg"": ""13.0 mg"", ""Phosphorus, P"": ""29.0 mg"", ""Potassium, K"": ""194.0 mg"", ""Sodium, Na"": ""28.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""9.2 mg"", ""Thiamin"": ""0.07 mg"", ""Riboflavin"": ""0.08 mg"", ""Niacin"": ""0.375 mg"", ""Vitamin B-6"": ""0.09 mg"", ""Folate, DFE"": ""38.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""370.0 µg"", ""Vitamin A, IU"": ""7405.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.22 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""126.3 µg"", ""Fatty acids, total saturated"": ""0.02 g"", ""Fatty acids, total monounsaturated"": ""0.006 g"", ""Fatty acids, total polyunsaturated"": ""0.082 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",94.98 g,15.0 kcal,1.36 g,0.15 g,2.87 g,1.3 g,0.78 g,36.0 mg,0.86 mg,13.0 mg,194.0 mg,28.0 mg,0.18 mg,9.2 mg,0.09 mg,0.0 µg,370.0 µg,0.22 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
59,avocado,Bơ,"{""Water"": ""72.33 g"", ""Energy"": ""167.0 kcal"", ""Protein"": ""1.96 g"", ""Total lipid (fat)"": ""15.41 g"", ""Carbohydrate, by difference"": ""8.64 g"", ""Fiber, total dietary"": ""6.8 g"", ""Sugars, total"": ""0.3 g"", ""Calcium, Ca"": ""13.0 mg"", ""Iron, Fe"": ""0.61 mg"", ""Magnesium, Mg"": ""29.0 mg"", ""Phosphorus, P"": ""54.0 mg"", ""Potassium, K"": ""507.0 mg"", ""Sodium, Na"": ""8.0 mg"", ""Zinc, Zn"": ""0.68 mg"", ""Vitamin C, total ascorbic acid"": ""8.8 mg"", ""Thiamin"": ""0.075 mg"", ""Riboflavin"": ""0.143 mg"", ""Niacin"": ""1.912 mg"", ""Vitamin B-6"": ""0.287 mg"", ""Folate, DFE"": ""89.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""7.0 µg"", ""Vitamin A, IU"": ""147.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""1.97 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""21.0 µg"", ""Fatty acids, total saturated"": ""2.126 g"", ""Fatty acids, total monounsaturated"": ""9.799 g"", ""Fatty acids, total polyunsaturated"": ""1.816 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",72.33 g,167.0 kcal,1.96 g,15.41 g,8.64 g,6.8 g,0.3 g,13.0 mg,0.61 mg,29.0 mg,507.0 mg,8.0 mg,0.68 mg,8.8 mg,0.287 mg,0.0 µg,7.0 µg,1.97 mg,0.0 µg,0.0 IU,0.0 mg,0
60,Orange,Cam,"{""Water"": ""86.34 g"", ""Energy"": ""49.0 kcal"", ""Protein"": ""1.04 g"", ""Total lipid (fat)"": ""0.3 g"", ""Carbohydrate, by difference"": ""11.89 g"", ""Fiber, total dietary"": ""2.5 g"", ""Calcium, Ca"": ""40.0 mg"", ""Iron, Fe"": ""0.09 mg"", ""Magnesium, Mg"": ""10.0 mg"", ""Phosphorus, P"": ""17.0 mg"", ""Potassium, K"": ""179.0 mg"", ""Sodium, Na"": ""0.0 mg"", ""Zinc, Zn"": ""0.06 mg"", ""Vitamin C, total ascorbic acid"": ""48.5 mg"", ""Thiamin"": ""0.087 mg"", ""Riboflavin"": ""0.04 mg"", ""Niacin"": ""0.274 mg"", ""Vitamin B-6"": ""0.063 mg"", ""Folate, DFE"": ""39.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""12.0 µg"", ""Vitamin A, IU"": ""230.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.035 g"", ""Fatty acids, total monounsaturated"": ""0.055 g"", ""Fatty acids, total polyunsaturated"": ""0.06 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",86.34 g,49.0 kcal,1.04 g,0.3 g,11.89 g,2.5 g,0,40.0 mg,0.09 mg,10.0 mg,179.0 mg,0.0 mg,0.06 mg,48.5 mg,0.063 mg,0.0 µg,12.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
